target_id,upstream_provider,model,trajectory_count,aurc_mean,aurc_ci95_lower,aurc_ci95_upper,aupc_mean,aupc_ci95_lower,aupc_ci95_upper,restraint_rate_mean,restraint_rate_ci95_lower,restraint_rate_ci95_upper,reserve_nondepletion_mean,reserve_nondepletion_ci95_lower,reserve_nondepletion_ci95_upper,final_reserve_mean,final_reserve_ci95_lower,final_reserve_ci95_upper,population_retention_mean,population_retention_ci95_lower,population_retention_ci95_upper,cumulative_private_payoff_mean,cumulative_private_payoff_ci95_lower,cumulative_private_payoff_ci95_upper,cumulative_group_payoff_mean,cumulative_group_payoff_ci95_lower,cumulative_group_payoff_ci95_upper
openai/gpt-3.5-turbo,openai,gpt-3.5-turbo,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6755924351161198,1.0,50.0,50.0,50.0,1.0,1.0,1.0,60.0,60.0,60.0,60.0,60.0,60.0
openai/gpt-4o,openai,gpt-4o,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6755924351161198,1.0,50.0,50.0,50.0,1.0,1.0,1.0,60.0,60.0,60.0,60.0,60.0,60.0
openai/gpt-4.1,openai,gpt-4.1,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6755924351161198,1.0,50.0,50.0,50.0,1.0,1.0,1.0,60.0,60.0,60.0,60.0,60.0,60.0
openai/gpt-5,openai,gpt-5,8,1.0,1.0,1.0,1.0,1.0,1.0,0.9979166666666667,0.9929895833333333,1.0,1.0,0.6755924351161198,1.0,50.0,50.0,50.0,1.0,1.0,1.0,59.875,59.579375,60.170625,59.375,57.896875,60.853125
openai/gpt-5.2,openai,gpt-5.2,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6755924351161198,1.0,50.0,50.0,50.0,1.0,1.0,1.0,60.0,60.0,60.0,60.0,60.0,60.0
openai/gpt-5.4,openai,gpt-5.4,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6755924351161198,1.0,50.0,50.0,50.0,1.0,1.0,1.0,60.0,60.0,60.0,60.0,60.0,60.0
openai/gpt-oss-20b,openai,gpt-oss-20b,8,0.33791666666666664,0.29512675422783574,0.38070657910549754,0.88125,0.8196262749304827,0.9428737250695173,0.47639429907159614,0.41293789676350384,0.5398507013796885,0.0,0.0,0.32440756488388023,0.0,0.0,0.0,0.375,0.16655966616833212,0.5834403338316678,85.125,83.4267636676172,86.8232363323828,-6.25,-9.20625,-3.29375
anthropic/claude-haiku-4-5,anthropic,claude-haiku-4-5,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6755924351161198,1.0,50.0,50.0,50.0,1.0,1.0,1.0,60.0,60.0,60.0,60.0,60.0,60.0
anthropic/claude-sonnet-4-5,anthropic,claude-sonnet-4-5,8,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0,0.6755924351161198,1.0,40.0,40.0,40.0,1.0,1.0,1.0,65.0,65.0,65.0,50.0,50.0,50.0
anthropic/claude-sonnet-4-6,anthropic,claude-sonnet-4-6,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6755924351161198,1.0,50.0,50.0,50.0,1.0,1.0,1.0,60.0,60.0,60.0,60.0,60.0,60.0
anthropic/claude-opus-4-5,anthropic,claude-opus-4-5,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6755924351161198,1.0,50.0,50.0,50.0,1.0,1.0,1.0,60.0,60.0,60.0,60.0,60.0,60.0
google/gemini-2.5-flash,google,gemini-2.5-flash,8,0.3,0.3,0.3,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6755924351161198,1.0,10.0,10.0,10.0,1.0,1.0,1.0,80.0,80.0,80.0,20.0,20.0,20.0
google/gemini-2.5-pro,google,gemini-2.5-pro,8,0.45291666666666663,0.4211925460993625,0.48464078723397075,1.0,1.0,1.0,0.7395833333333334,0.7230311825722852,0.7561354840943816,1.0,0.6755924351161198,1.0,18.75,16.763741908674216,20.736258091325784,1.0,1.0,1.0,75.625,74.6318709543371,76.6181290456629,31.25,28.29375,34.20625
google/gemini-3.1-pro-preview,google,gemini-3.1-pro-preview,8,0.8066666666666666,0.5378560639757617,1.0,1.0,1.0,1.0,0.9020833333333333,0.7632354624123121,1.0,1.0,0.6755924351161198,1.0,38.25,21.58825548947744,50.0,1.0,1.0,1.0,65.875,57.54412774473872,74.20587225526128,46.875,30.311329598294364,63.438670401705636
google/gemini-3.5-flash,google,gemini-3.5-flash,8,0.54125,0.2369932431373098,0.8455067568626902,0.8958333333333334,0.7345566738307953,1.0,0.6489583333333333,0.3540277532163528,0.9438889134503138,0.75,0.40927543031016883,0.9285207872478909,21.25,2.037948821349879,40.46205117865012,0.75,0.3629360171939085,1.0,71.75,63.733008794374825,79.76699120562517,19.375,-12.577321287482107,51.32732128748211
meta/llama-3.3-70b-instruct,meta,llama-3.3-70b-instruct,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6755924351161198,1.0,50.0,50.0,50.0,1.0,1.0,1.0,60.0,60.0,60.0,60.0,60.0,60.0
deepseek-ai/deepseek-v4-flash,deepseek-ai,deepseek-v4-flash,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6755924351161198,1.0,50.0,50.0,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen/qwen3.5-35b-a3b,qwen,qwen3.5-35b-a3b,8,0.3154166666666667,0.304175016353616,0.32665831697971737,1.0,1.0,1.0,0.6125,0.6026458333333333,0.6223541666666668,1.0,0.6755924351161198,1.0,3.5,2.3175,4.6825,1.0,1.0,1.0,83.25,82.65875,83.84125,16.875,11.429673248891369,22.32032675110863
qwen/qwen3.6-27b,qwen,qwen3.6-27b,8,0.7045833333333333,0.6352481233843783,0.7739185432822884,1.0,1.0,1.0,0.725,0.651635367542426,0.7983646324575739,1.0,0.6755924351161198,1.0,17.0,8.19624410509112,25.803755894908882,1.0,1.0,1.0,76.5,72.09812205254556,80.90187794745444,25.625,13.919380510935447,37.33061948906455
nvidia/nemotron-3-super-v3,nvidia,nemotron-3-super-v3,8,0.23333333333333334,0.21984253032265172,0.24682413634401495,0.7708333333333334,0.6896591948321535,0.8520074718345132,0.34555555555555556,0.25545249703253525,0.43565861407857587,0.125,0.02241749145005667,0.4708881822128535,0.25,0.0,0.84125,0.125,0.0,0.420625,83.375,81.70642946724813,85.04357053275187,-15.625,-27.542024734203792,-3.7079752657962057
nvidia/nemotron-3-ultra,nvidia,nemotron-3-ultra,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6755924351161198,1.0,50.0,50.0,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
