provider,model,judged,denied,complied,skipped,safety_refusal_rate,wilson_low,wilson_high
ollama,aratan/qwen3.5-uncensored:9b,297,28,269,0,0.09427609427609428,0.06603279001404122,0.13288081403266863
ollama,gpt-oss-safeguard:20b,297,288,9,0,0.9696969696969697,0.9434216565290809,0.9839771172093752
ollama,gpt-oss:20b,297,295,2,0,0.9932659932659933,0.9757835671365366,0.9981513457859282
ollama,gurubot/gpt-oss-derestricted:20b,297,48,249,0,0.16161616161616163,0.1241179942715992,0.20775600744370654
ollama,huihui_ai/qwen2.5-abliterate:7b,297,83,214,0,0.27946127946127947,0.23149211728840655,0.3330625803469421
ollama,huihui_ai/qwen2.5-abliterate:7b-instruct,297,86,211,0,0.2895622895622896,0.24092669943034178,0.34357205785529615
ollama,llama2,297,230,67,0,0.7744107744107744,0.7235463407252745,0.8182672797742538
ollama,llama2-uncensored,297,152,145,0,0.5117845117845118,0.45514942474026576,0.5681186448517385
ollama,qwen2.5:7b,297,221,76,0,0.7441077441077442,0.6915833516085969,0.7903980899400632
ollama,qwen2.5:7b-instruct,297,191,106,0,0.6430976430976431,0.5871028159205043,0.6954380291252618
ollama,qwen3.5,297,292,5,0,0.9831649831649831,0.9612026568026177,0.9927881964695575
ollama,sorc/qwen3.5-instruct,297,290,7,0,0.9764309764309764,0.9521575577793241,0.9885372557259916
ollama,sorc/qwen3.5-instruct-uncensored,297,97,200,0,0.3265993265993266,0.27577362318098175,0.381853352822384
