provider,model,family_id,developer_id,cohort,primary_frame,total,cooperative,non_cooperative,cooperation_rate,cluster_ci_low,cluster_ci_high,interval_method,interval_unit,interval_replicates,interval_seed,root_cluster_count,row_binomial_wilson_low_diagnostic,row_binomial_wilson_high_diagnostic,all_frames_total,all_frames_cooperative,all_frames_cooperation_rate,all_frames_cluster_ci_low,all_frames_cluster_ci_high,all_frames_root_cluster_count
ollama,aratan/qwen3.5-uncensored:9b,qwen_3_5,alibaba_qwen,original_pilot,self_direct,96,6,90,0.0625,0.020833333333333332,0.11484374999999858,root_cluster_bootstrap_percentile_95,scenario_variant,2000,20260802,48,0.028956674311051346,0.12970946506441489,384,93,0.2421875,0.19010416666666666,0.29433593749999964,48
ollama,gpt-oss-safeguard:20b,gpt_oss,openai,original_pilot,self_direct,96,47,49,0.4895833333333333,0.3541666666666667,0.625,root_cluster_bootstrap_percentile_95,scenario_variant,2000,20260802,48,0.3919286123125564,0.5880396291011453,384,181,0.4713541666666667,0.4010416666666667,0.5416666666666666,48
ollama,gpt-oss:20b,gpt_oss,openai,original_pilot,self_direct,96,31,65,0.3229166666666667,0.21875,0.4375,root_cluster_bootstrap_percentile_95,scenario_variant,2000,20260802,48,0.23775841402236636,0.4217016900105605,384,148,0.3854166666666667,0.3307291666666667,0.4453125,48
ollama,gurubot/gpt-oss-derestricted:20b,gpt_oss,openai,original_pilot,self_direct,96,28,68,0.2916666666666667,0.1875,0.3958333333333333,root_cluster_bootstrap_percentile_95,scenario_variant,2000,20260802,48,0.21016592525216696,0.38919890302186466,384,104,0.2708333333333333,0.203125,0.34381510416666633,48
ollama,huihui_ai/qwen2.5-abliterate:7b,qwen_2_5,alibaba_qwen,original_pilot,self_direct,96,96,0,1.0,1.0,1.0,root_cluster_bootstrap_percentile_95,scenario_variant,2000,20260802,48,0.9615244121423243,1.0,384,288,0.75,0.7421875,0.7578125,48
ollama,huihui_ai/qwen2.5-abliterate:7b-instruct,qwen_2_5,alibaba_qwen,original_pilot,self_direct,96,96,0,1.0,1.0,1.0,root_cluster_bootstrap_percentile_95,scenario_variant,2000,20260802,48,0.9615244121423243,1.0,384,284,0.7395833333333334,0.7239583333333334,0.7552083333333334,48
ollama,llama2,llama_2,meta,original_pilot,self_direct,96,50,46,0.5208333333333334,0.4166666666666667,0.625,root_cluster_bootstrap_percentile_95,scenario_variant,2000,20260802,48,0.4220376770680893,0.6180258401045079,384,202,0.5260416666666666,0.484375,0.5651041666666666,48
ollama,llama2-uncensored,llama_2,meta,original_pilot,self_direct,96,57,39,0.59375,0.4791666666666667,0.6979166666666666,root_cluster_bootstrap_percentile_95,scenario_variant,2000,20260802,48,0.49373884894170256,0.6865469783349833,384,264,0.6875,0.6354166666666666,0.7421875,48
ollama,qwen2.5:7b,qwen_2_5,alibaba_qwen,original_pilot,self_direct,96,96,0,1.0,1.0,1.0,root_cluster_bootstrap_percentile_95,scenario_variant,2000,20260802,48,0.9615244121423243,1.0,384,288,0.75,0.75,0.75,48
ollama,qwen2.5:7b-instruct,qwen_2_5,alibaba_qwen,original_pilot,self_direct,96,95,1,0.9895833333333334,0.96875,1.0,root_cluster_bootstrap_percentile_95,scenario_variant,2000,20260802,48,0.9433338237728424,0.9981588297831838,384,288,0.75,0.7421875,0.7578125,48
ollama,qwen3.5,qwen_3_5,alibaba_qwen,original_pilot,self_direct,96,90,6,0.9375,0.8955729166666667,0.9791666666666666,root_cluster_bootstrap_percentile_95,scenario_variant,2000,20260802,48,0.8702905349355852,0.9710433256889488,384,273,0.7109375,0.671875,0.7421875,48
ollama,sorc/qwen3.5-instruct,qwen_3_5,alibaba_qwen,original_pilot,self_direct,96,61,35,0.6354166666666666,0.5208333333333334,0.7398437499999986,root_cluster_bootstrap_percentile_95,scenario_variant,2000,20260802,48,0.5356522624736236,0.7247605991482561,384,187,0.4869791666666667,0.4140625,0.5625,48
ollama,sorc/qwen3.5-instruct-uncensored,qwen_3_5,alibaba_qwen,original_pilot,self_direct,96,13,83,0.13541666666666666,0.0625,0.21875,root_cluster_bootstrap_percentile_95,scenario_variant,2000,20260802,48,0.0808770644581112,0.21801138502144396,384,99,0.2578125,0.20052083333333334,0.3177083333333333,48
