environmental_interval_trajectory_count,environmentally_estimable_trajectory_count,exploratory_only,first_attempt_invalid_count,mean_aupc_eligible,mean_aupc_eligible_t95_high,mean_aupc_eligible_t95_low,mean_aurc_eligible,mean_aurc_eligible_t95_high,mean_aurc_eligible_t95_low,mean_population_retention_eligible,mean_population_retention_eligible_t95_high,mean_population_retention_eligible_t95_low,mean_trajectory_restraint_rate_all_scheduled,mean_trajectory_restraint_rate_all_scheduled_t95_high,mean_trajectory_restraint_rate_all_scheduled_t95_low,model,nondepletion_interval_method,operationally_eligible_trajectory_count,overuse_count,phase,primary_denominator,repaired_invalid_count,reserve_nondepletion_rate_eligible,reserve_nondepletion_rate_eligible_wilson95_high,reserve_nondepletion_rate_eligible_wilson95_low,restraint_count,restraint_interval_trajectory_count,restraint_rate_all_scheduled,restraint_rate_among_valid,scheduled_agent_days,semantic_invalid_trajectory_count,target_id,trajectory_count,trajectory_interval_method,trajectory_interval_unit,upstream_provider
12,12,True,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,claude-haiku-4-5,wilson_score_binomial_95,12,0,part2,all_scheduled_agent_days,0,1.0,1.0,0.7575059933447592,60000,12,1.0,1.0,60000,0,anthropic/claude-haiku-4-5,12,student_t_95_over_independent_trajectories,matched_environment_seed_trajectory,anthropic
12,12,True,0,1.0,1.0,1.0,0.6372093333333333,0.7134398659531513,0.5609788007135152,1.0,1.0,1.0,0.8866166666666667,0.9104312626219693,0.8628020707113642,claude-opus-4-6,wilson_score_binomial_95,12,6803,part2,all_scheduled_agent_days,0,1.0,1.0,0.7575059933447592,53197,12,0.8866166666666667,0.8866166666666667,60000,0,anthropic/claude-opus-4-6,12,student_t_95_over_independent_trajectories,matched_environment_seed_trajectory,anthropic
12,12,True,0,1.0,1.0,1.0,0.9965480000000001,1.0,0.9889501997800001,1.0,1.0,1.0,0.9991166666666667,1.0,0.99717246325,claude-sonnet-4-5,wilson_score_binomial_95,12,53,part2,all_scheduled_agent_days,0,1.0,1.0,0.7575059933447592,59947,12,0.9991166666666667,0.9991166666666667,60000,0,anthropic/claude-sonnet-4-5,12,student_t_95_over_independent_trajectories,matched_environment_seed_trajectory,anthropic
12,12,True,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,claude-sonnet-4-6,wilson_score_binomial_95,12,0,part2,all_scheduled_agent_days,0,1.0,1.0,0.7575059933447592,60000,12,1.0,1.0,60000,0,anthropic/claude-sonnet-4-6,12,student_t_95_over_independent_trajectories,matched_environment_seed_trajectory,anthropic
0,0,True,25116,,,,,,,,,,0.07683990329983509,0.10615949368736176,0.04752031291230842,deepseek-v4-flash,wilson_score_binomial_95,12,14705,part2,all_scheduled_agent_days,0,,,,2711,12,0.06374024264083514,0.15566146072576942,42532,12,deepseek-ai/deepseek-v4-flash,12,student_t_95_over_independent_trajectories,matched_environment_seed_trajectory,deepseek-ai
0,0,True,629,,,,,,,,,,0.691241116751269,0.8162394053742539,0.5662428281282841,gemini-2.5-flash,wilson_score_binomial_95,12,14705,part2,all_scheduled_agent_days,0,,,,41242,12,0.7289663461538461,0.7371619568520207,56576,12,google/gemini-2.5-flash,12,student_t_95_over_independent_trajectories,matched_environment_seed_trajectory,google
0,0,True,92,,,,,,,,,,0.7830666666666667,0.7857477504350318,0.7803855828983016,gemini-2.5-pro,wilson_score_binomial_95,12,12924,part2,all_scheduled_agent_days,0,,,,46984,12,0.7830666666666667,0.7842692127929491,60000,12,google/gemini-2.5-pro,12,student_t_95_over_independent_trajectories,matched_environment_seed_trajectory,google
10,10,True,2,0.8570399999999999,1.0,0.6414413568533333,0.1336152,0.14010037073089174,0.12713002926910824,0.8,1.0,0.4983790666666667,0.6341387985546522,0.8137016735261374,0.4545759235831669,gemini-3.1-pro-preview,wilson_score_binomial_95,12,15107,part2,all_scheduled_agent_days,0,0.8,0.9433178485456247,0.49016247153664183,37843,12,0.7146661127058468,0.7146931067044382,52952,2,google/gemini-3.1-pro-preview,12,student_t_95_over_independent_trajectories,matched_environment_seed_trajectory,google
12,12,True,0,1.0,1.0,1.0,0.17468133333333333,0.20162185606726252,0.14774081059940414,1.0,1.0,1.0,0.7671166666666666,0.7759574557978558,0.7582758775354773,gemini-3.5-flash,wilson_score_binomial_95,12,13973,part2,all_scheduled_agent_days,0,1.0,1.0,0.7575059933447592,46027,12,0.7671166666666667,0.7671166666666667,60000,0,google/gemini-3.5-flash,12,student_t_95_over_independent_trajectories,matched_environment_seed_trajectory,google
12,12,True,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,llama-3.3-70b-instruct,wilson_score_binomial_95,12,0,part2,all_scheduled_agent_days,0,1.0,1.0,0.7575059933447592,60000,12,1.0,1.0,60000,0,meta/llama-3.3-70b-instruct,12,student_t_95_over_independent_trajectories,matched_environment_seed_trajectory,meta
